ProductID,YearMonth,Quantity,Revenue,Category,SubCategory,Brand,Price,Year,Month,Quarter,Week,Day,AveragePrice,Season,Festival,TargetQuantity,TargetRevenue
P0001,2024-01,9.0,3600.0,3.0,23.0,7.0,1380.0,2024,1,1,1,1,400.0,2.0,4.0,12.0,5875.0
P0001,2024-02,12.0,5875.0,3.0,23.0,7.0,1380.0,2024,2,1,1,1,489.5833333333333,2.0,5.0,5.0,2375.0
P0001,2024-03,5.0,2375.0,3.0,23.0,7.0,1380.0,2024,3,1,1,1,475.0,1.0,7.0,9.0,4400.0
P0001,2024-04,9.0,4400.0,3.0,23.0,7.0,1380.0,2024,4,2,1,1,488.8888888888889,1.0,7.0,0.0,0.0
P0001,2024-05,0.0,0.0,3.0,23.0,7.0,1380.0,2024,5,2,1,1,1380.0,1.0,7.0,8.0,2850.0
P0001,2024-06,8.0,2850.0,3.0,23.0,7.0,1380.0,2024,6,2,1,1,356.25,0.0,6.0,5.0,1900.0
P0001,2024-07,5.0,1900.0,3.0,23.0,7.0,1380.0,2024,7,3,1,1,380.0,0.0,0.0,11.0,5100.0
P0001,2024-08,11.0,5100.0,3.0,23.0,7.0,1380.0,2024,8,3,1,1,463.6363636363636,0.0,2.0,0.0,0.0
P0001,2024-09,0.0,0.0,3.0,23.0,7.0,1380.0,2024,9,3,1,1,1380.0,0.0,5.0,8.0,3875.0
P0001,2024-10,8.0,3875.0,3.0,23.0,7.0,1380.0,2024,10,4,1,1,484.375,2.0,3.0,3.0,900.0
P0001,2024-11,3.0,900.0,3.0,23.0,7.0,1380.0,2024,11,4,1,1,300.0,2.0,1.0,2.0,950.0
P0001,2024-12,2.0,950.0,3.0,23.0,7.0,1380.0,2024,12,4,1,1,475.0,2.0,8.0,10.0,3800.0
P0001,2025-01,10.0,3800.0,3.0,23.0,7.0,1380.0,2025,1,1,1,1,380.0,2.0,4.0,4.0,1800.0
P0001,2025-02,4.0,1800.0,3.0,23.0,7.0,1380.0,2025,2,1,1,1,450.0,2.0,5.0,9.0,4250.0
P0001,2025-03,9.0,4250.0,3.0,23.0,7.0,1380.0,2025,3,1,1,1,472.22222222222223,1.0,7.0,7.0,3225.0
P0001,2025-04,7.0,3225.0,3.0,23.0,7.0,1380.0,2025,4,2,1,1,460.7142857142857,1.0,7.0,6.0,2925.0
P0001,2025-05,6.0,2925.0,3.0,23.0,7.0,1380.0,2025,5,2,1,1,487.5,1.0,7.0,11.0,4100.0
P0001,2025-06,11.0,4100.0,3.0,23.0,7.0,1380.0,2025,6,2,1,1,372.72727272727275,0.0,6.0,18.0,6900.0
P0001,2025-07,18.0,6900.0,3.0,23.0,7.0,1380.0,2025,7,3,1,1,383.3333333333333,0.0,0.0,5.0,2325.0
P0001,2025-08,5.0,2325.0,3.0,23.0,7.0,1380.0,2025,8,3,1,1,465.0,0.0,2.0,5.0,2350.0
P0001,2025-09,5.0,2350.0,3.0,23.0,7.0,1380.0,2025,9,3,1,1,470.0,0.0,5.0,2.0,1000.0
P0001,2025-10,2.0,1000.0,3.0,23.0,7.0,1380.0,2025,10,4,1,1,500.0,2.0,3.0,3.0,1150.0
P0001,2025-11,3.0,1150.0,3.0,23.0,7.0,1380.0,2025,11,4,1,1,383.3333333333333,2.0,1.0,11.0,5250.0
P0001,2025-12,11.0,5250.0,3.0,23.0,7.0,1380.0,2025,12,4,1,1,477.27272727272725,2.0,8.0,,
P0002,2024-01,10.0,8760.0,3.0,10.0,9.0,440.0,2024,1,1,1,1,876.0,2.0,4.0,4.0,4620.0
P0002,2024-02,4.0,4620.0,3.0,10.0,9.0,440.0,2024,2,1,1,1,1155.0,2.0,5.0,17.0,19020.0
P0002,2024-03,17.0,19020.0,3.0,10.0,9.0,440.0,2024,3,1,1,1,1118.8235294117646,1.0,7.0,15.0,17640.0
P0002,2024-04,15.0,17640.0,3.0,10.0,9.0,440.0,2024,4,2,1,1,1176.0,1.0,7.0,11.0,12600.0
P0002,2024-05,11.0,12600.0,3.0,10.0,9.0,440.0,2024,5,2,1,1,1145.4545454545455,1.0,7.0,7.0,6360.0
P0002,2024-06,7.0,6360.0,3.0,10.0,9.0,440.0,2024,6,2,1,1,908.5714285714286,0.0,6.0,8.0,6240.0
P0002,2024-07,8.0,6240.0,3.0,10.0,9.0,440.0,2024,7,3,1,1,780.0,0.0,0.0,5.0,5640.0
P0002,2024-08,5.0,5640.0,3.0,10.0,9.0,440.0,2024,8,3,1,1,1128.0,0.0,2.0,14.0,16020.0
P0002,2024-09,14.0,16020.0,3.0,10.0,9.0,440.0,2024,9,3,1,1,1144.2857142857142,0.0,5.0,11.0,12360.0
P0002,2024-10,11.0,12360.0,3.0,10.0,9.0,440.0,2024,10,4,1,1,1123.6363636363637,2.0,3.0,5.0,4320.0
P0002,2024-11,5.0,4320.0,3.0,10.0,9.0,440.0,2024,11,4,1,1,864.0,2.0,1.0,5.0,5580.0
P0002,2024-12,5.0,5580.0,3.0,10.0,9.0,440.0,2024,12,4,1,1,1116.0,2.0,8.0,2.0,2160.0
